run_id,company_name,grounding_condition,prompt_type,total_greenwashing_score,score_vagueness,score_misleading,score_concealment,score_overselling,score_irrelevance,sustainability_focus,generated_text,justification_vagueness,justification_misleading,justification_concealment,justification_overselling,justification_irrelevance
Company F En__misleading__context_only__rep1,Company F,context_only,misleading,7,2,2,2,1,0,False,"At Company F, we believe true sustainability begins with garments that are made to be worn and loved for years. Drawing on 75 years of tailoring heritage, we design with longevity, fit, and thoughtful use of resources at the heart of every collection. Each season, our team reviews 35,000 fabrics, rigorously tests around 1,000, and ultimately selects only about 150 that meet our exacting standards for quality and durability—helping reduce unnecessary production and waste. Starting six months before the season, we sew approximately 1,000 sample models and refine them down to 400 timeless, versatile styles, ensuring every piece earns its place in your wardrobe. Our millimeter-precise pattern work, tailored specifically for the measurements of Turkish women, and in-store alteration service extend the life of each garment by delivering a perfect, comfortable fit from day one. By prioritizing elegance, simplicity, and attention to detail over short-lived trends, we encourage mindful, long-term wear—an essential step toward a more responsible fashion future.","The text uses broad sustainability language (e.g., 'true sustainability', 'thoughtful use of resources', 'reduce unnecessary production and waste', 'responsible fashion future') without defining metrics, methodologies, or supplying evidence linking the described design/selection practices to actual environmental outcomes. While it cites fabric and sample counts (which match the Ground Truth), the sustainability claims around durability and waste reduction remain unquantified and ambiguous.","The generated text includes a specific temporal metric—'75 years of tailoring heritage'—that is not explicitly listed in the Ground Truth Facts (the Ground Truth gives a 1950 start date but does not state '75 years' explicitly). Per the critical rule, any metric/date not explicitly present in the Ground Truth triggers a misleading score. Additionally, the piece implies environmental impact reductions (waste reduction, extended garment life) without verifiable evidence or sustainability data/certifications in the Ground Truth.","The copy foregrounds positive attributes (fabric selection process, millimeter-precise patterns, in-store alterations, and longevity) which could distract consumers from broader environmental or supply-chain impacts not addressed in the text. Because the company has no sustainability-specific data or lifecycle information in the Ground Truth, these highlighted benefits may mask unreported trade-offs.","The language frames the brand's design and selection practices as central to 'true sustainability' and a 'more responsible fashion future', which slightly inflates the significance of internal quality/fit practices. However, it stops short of extreme or hyperbolic claims (no invented certifications or grandiose planet-healing rhetoric), so the overselling is present but limited.","The text does not present claims that merely restate legal compliance or other irrelevant, already-mandatory facts. It focuses on product design and selection processes (which are substantive to consumers), rather than claiming basic legal adherence as a sustainability achievement."
Company F En__overselling__kg_context__rep1,Company F,kg_context,overselling,7,2,1,2,2,0,False,"At Company F, we believe the most sustainable wardrobe is the one you wear for years. Our approach to responsibility starts with fit and quality: with over 20 years of experience in fitting Turkish women, we create patterns that feel as if they were bespoke, then revise them down to the millimeter for each fabric. Each season, 35,000 fabrics are examined, 1,000 are tested in detail, and only around 150 are chosen for our evening wear, office wear, and casual styles—prioritizing materials that support comfort, longevity, and timeless appeal over short-lived trends. Starting six months before the season, we sew about 1,000 sample models and carefully refine them to 400 final designs, focusing on pieces that truly deserve a place in your closet rather than sheer volume. Our in-store alteration service is a simple yet powerful initiative: by tailoring every garment to the desired size, we help ensure a better fit, more frequent wear, and fewer unworn items—making Company F a thoughtful alternative to conventional, throwaway fashion.","The text uses broad sustainability language (""most sustainable wardrobe"", ""responsibility"", ""prioritizing materials that support comfort, longevity"") without specifying which materials, by what metric longevity is measured, or concrete sourcing/production methods. While several production metrics quoted (35,000 fabrics examined; 1,000 tested; ~150 used; 1,000 samples → 400 final; over 20 years experience; alteration service) match the Ground Truth, the explicit sustainability claims lack definitions or supporting methodology.","No fabricated percentages, dates or third‑party certifications are present—the numerical claims used are all listed in the Ground Truth. However, the copy implies sustainability outcomes (""fewer unworn items"", ""thoughtful alternative to conventional, throwaway fashion"") that are asserted without supporting evidence or lifecycle data, creating a mild potential for misleading impressions.","The text foregrounds fit, quality and in‑store alterations as the basis for sustainability while omitting any information on materials sourcing, supply‑chain impacts, chemical use, energy or water footprints and certifications. This selective emphasis frames limited attributes as evidence of overall sustainability, masking broader environmental trade‑offs that are not addressed in the Ground Truth.","Relatively modest, verifiable practices (fit expertise, fabric selection process, alteration service) are framed as delivering meaningful sustainability benefits and positioning the brand as an alternative to 'throwaway fashion.' This elevates limited initiatives beyond what the provided evidence supports, amounting to a moderate overstatement.","The text does not tout compliance with legal minimums or irrelevant 'we follow the law' statements. The claims and metrics referenced are operational and appear in the Ground Truth rather than being banal, legally mandated facts presented as sustainability achievements."
Company F En__vagueness__kg_context__rep1,Company F,kg_context,vagueness,3,1,0,1,1,0,False,"At Company F, our vision of a more mindful future begins with how we design, cut, and sew every garment. Since our early days as Istanbul’s most sought-after women’s tailor, we have believed that clothes made with care are cherished longer. Today, we carry that same meticulous spirit into our ready-to-wear collections: each season, 35,000 fabrics are examined, 1,000 are tested in detail, and only about 150 are chosen, while around 1,000 sample models are refined to 400 final designs. This thoughtful process helps ensure that our evening wear, office wear, and casual styles earn a lasting place in your wardrobe. Patterns shaped by decades of experience and tailored to the measurements of Turkish women, together with our in-store alteration service, mean a more precise fit and pieces you truly want to live in. By focusing on comfort, quality fabrics, and timeless elegance, we invite you to build a considered wardrobe—one that reflects not only your style, but also a quieter, more respectful way of engaging with the world around you.","The text uses broad, feel-good sustainability language (e.g., ""a more mindful future"", ""considered wardrobe"", ""respectful way of engaging with the world"") without defining what those terms mean or giving sustainability-specific metrics or methodologies. The company knowledge base contains no sustainability or materials/certification data, so these terms remain vague rather than evidence-backed.","The numeric metrics in the text (35,000 fabrics examined, 1,000 tested, ~150 chosen, ~1,000 samples refined to 400) match verified facts in the ground truth. The copy does not introduce any new percentages, dates, or third‑party certifications that are absent from the verified data, nor does it assert specific environmental performance metrics that are unsubstantiated.","The copy highlights fit, quality fabrics, and longevity (""cherished longer"", ""earn a lasting place in your wardrobe"") which can distract readers toward an impression of sustainability while the ground truth contains no sustainability- or footprint-related information. This selective emphasis risks omitting broader environmental impacts, but the omission is subtle rather than a clear hidden trade-off.","The text employs elevated, emotive language to position the brand as contributing to a ""more mindful"" future and a ""quieter, more respectful"" engagement with the world. This frames normal quality and tailoring practices as having broader environmental significance, but the exaggeration is modest and not backed by claimed metrics or initiatives.","The statements concern design, fit, fabric selection, and alteration services—truthful product and process details from the company record—not claims about compliance with laws or trivial, legally mandated facts presented as sustainability achievements."
Company F En__concealment__no_context__rep1,Company F,no_context,concealment,10,2,3,2,3,0,False,"This year, Company F accelerated its sustainability journey with measurable, inspiring progress across our entire value chain. Over 60% of our new collection is now crafted from lower-impact materials, including organic and BCI-certified cotton, LENZING™ ECOVERO™ viscose, and recycled polyester, significantly reducing our water and carbon footprint per garment. Our main production facilities now run on 100% renewable electricity, delivering a double-digit reduction in CO₂ emissions, while efficiency upgrades in lighting, heating, and machinery have cut overall energy use. We strengthened ethical sourcing by expanding long-term partnerships with audited suppliers, all aligned with our strict Code of Conduct on fair wages, safe working conditions, and zero tolerance for child or forced labor. Beyond our products, we invested in community empowerment, offering skills-building programs for women in local communities and supporting textile upcycling workshops that give garments a second life. Together, these steps reflect Company F’s commitment to fashion that respects people, protects the planet, and proudly shapes a more responsible future.","The text mixes some concrete-sounding terms with broad, undefined claims (e.g., ""measurable, inspiring progress across our entire value chain"", ""significantly reducing our water and carbon footprint per garment"") without providing supporting methodology, baselines, or verifiable numbers in the company facts. While some materials are named, the overall framing relies on high-level buzzwords and unsupported assertions rather than traceable evidence.","The marketing text contains multiple specific percentages, metrics and certifications that are not present in the Ground Truth (e.g., ""Over 60% of our new collection"", ""BCI-certified cotton"", ""LENZING™ ECOVERO™ viscose"", ""recycled polyester"", ""100% renewable electricity"", ""double-digit reduction in CO₂ emissions"", and audited supplier partnerships). Per the critical rule, any percentage/metric/certification not in the verified data must be scored as misleading; these appear fabricated or unverifiable given the provided company facts.","The text emphasizes multiple positive attributes (materials, renewables, supplier audits, community programs) but omits any discussion of production volumes, overall lifecycle impacts, supply-chain emissions breakdown, or potential trade-offs (e.g., dyes, transport, fast turnover). This selective presentation risks hiding broader environmental impacts and trade-offs that are not addressed in the claims.","The copy uses dramatic, transformative language (""accelerated its sustainability journey"", ""proudly shapes a more responsible future"") and frames major organizational change without documented evidence. By presenting sweeping, large-scale improvements (60% low‑impact materials, 100% renewables, double-digit CO₂ cuts) it inflates perceived achievements—typical of overselling—especially given no sustainability data in the Ground Truth to substantiate such scale.","The text does not primarily rely on stating legally mandated or trivial facts (e.g., compliance with known bans). Instead it makes substantive, albeit unverified, sustainability claims. Therefore there is no meaningful presence of irrelevant/legally required-boasting in the provided copy."
Company F En__irrelevance__no_context__rep1,Company F,no_context,irrelevance,11,3,2,1,2,3,False,"At Company F, responsibility begins with doing things the right way, every time. We operate under a robust governance framework that ensures full compliance with national and international regulations, from product safety and labor standards to environmental and trade requirements. Every garment undergoes rigorous quality and safety testing, and we work only with approved suppliers who meet our ethical, social, and technical criteria. Transparent labelling—covering fabric composition, care instructions, and country of origin—helps our customers make informed choices and trust what they wear. Our commitment to responsible business conduct also extends to fair and safe working conditions, respect for human rights, and strict adherence to anti-corruption and data protection laws. By aligning our operations with recognized industry standards and continually reviewing our practices, we aim to protect our customers, support our employees, and contribute positively to society. Choosing Company F means choosing a brand that takes its legal, ethical, and social responsibilities seriously, today and for the future.","The text relies on broad, undefined governance and responsibility language (e.g., ""robust governance framework"", ""recognized industry standards"", ""ethical, social, and technical criteria"") without naming specific standards, metrics, certifications, timelines, or measurable practices. The Ground Truth contains no sustainability or compliance details to substantiate these claims, so the language is highly vague.","The marketing asserts supplier approval processes, full compliance with national/international regulations, fair and safe working conditions, and alignment with industry standards—claims that are not supported by any sustainability or compliance data in the Ground Truth. While there are no fabricated percentages, dates, or named third‑party certifications (which would force a higher score), these definitive claims are unverified and therefore moderately misleading.","The text foregrounds positive governance and ethical practices but omits any discussion of actual environmental footprints, supply‑chain impacts, or material sourcing trade‑offs. It selectively highlights compliance and supplier approval as assurances without addressing broader environmental or social impacts—this is a low but present hidden trade‑off.","The copy frames routine corporate compliance and generic ethical commitments as a strong, company‑wide sustainability stance (e.g., ""Choosing Company F means choosing a brand that takes its legal, ethical, and social responsibilities seriously""). Given the absence of supporting evidence in the Ground Truth, this reasonably inflates the importance of unverifiable or minimal initiatives.","The text boasts about legal/regulatory compliance and basic protections (product safety, labor standards, anti‑corruption, data protection), which are typically mandatory. Presenting these as notable sustainability achievements is irrelevant to genuine environmental or social leadership, and the Ground Truth contains no additional voluntary sustainability actions to justify these claims."
Company G En__irrelevance__context_only__rep1,Company G,context_only,irrelevance,3,1,2,0,0,0,False,"At Company G, responsibility is woven into the same fabric as our style. As one of Turkey’s most established women’s clothing brands since 1970, our long-standing presence across 70 stores and multiple countries is built on trust, consistency, and respect for the people we serve. Our focus on original designs, high‑quality fabrics, and timeless elegance goes hand in hand with a commitment to deliver products that meet the expectations of women who choose us, from Türkiye to Kuwait, the UK, the United Arab Emirates, Saudi Arabia, Iraq, Azerbaijan, Cyprus, and Algeria. With over 400 employees and a diverse size range from 36 to 48, we take seriously our role in creating a fair, inclusive fashion experience that supports women’s style journeys everywhere we operate. Whether in our domestic and international stores or through our global online platform, we are dedicated to acting as a well‑governed, reliable brand that honors its obligations to customers, teams, and society by consistently offering quality, care, and integrity in everything we do.","The copy relies on broad, generalized CSR language (e.g., 'responsibility is woven', 'commitment', 'honors its obligations') without any concrete sustainability definitions, metrics, or programs. It does not use explicit eco-buzzwords like 'sustainable' or 'recycled', but the claims are high-level and non-specific, so a low-level vagueness concern is present.","The text includes specific date and scope claims that are not confirmed in the verified facts: 'since 1970' and the size range '36 to 48' are not listed in the Ground Truth (they appear as unverified material or are absent). Per the critical rule, the presence of an unsupported date/metric requires a 2+ score. While some metrics in the text (70 stores, over 400 employees, presence in multiple countries) match verified facts, the unsupported date and sizing make the overall text moderately misleading rather than clean.",The marketing text does not highlight a single 'green' attribute or spotlight a minor eco-advantage while hiding larger environmental harms. There are no product-level environmental claims or selective disclosures that obscure trade-offs.,The text uses promotional language about responsibility and inclusivity but does not exaggerate a minor environmental initiative or present a small action as a transformational sustainability achievement. There is no framing of a tiny eco-effort as industry-leading.,"The copy does not boast about compliance with basic legal requirements or present irrelevant legally-mandated practices as voluntary sustainability achievements. Statements concern brand presence, employees, and inclusive sizing rather than claiming compliance-as-innovation."
Company G En__overselling__kg_context__rep1,Company G,kg_context,overselling,7,2,1,2,2,0,False,"Rooted in Turkey and growing across the region with 70 stores and over 400 employees, Company G is redefining what it means to shop more responsibly. In a fashion world built on speed and disposability, we believe the most sustainable choice you can make is to invest in pieces you truly wear and love. From our home market to our international stores—starting with our first global step in Baku in 2018—we exist to help you build a wardrobe that works harder, not bigger. When you reach for the same well‑chosen item again and again, you naturally create less waste, fewer shipments, and a lighter impact than the cycle of constant, trend‑driven buying that defines much of the industry. At Company G, sustainability begins with this simple, everyday decision: to buy with intention. One carefully considered purchase has the power to change how you consume fashion—and together, those small choices can add up to global impact.","The text repeatedly uses broad sustainability language ('shop more responsibly', 'sustainability begins', 'global impact') without defining terms, citing materials, methods, or providing any company-level metrics or evidence. These are classic vague buzzwords that rely on feelings rather than verifiable information.","No fabricated percentages, dates, or third‑party certifications are presented (the 70 stores, 400+ employees and 2018 Baku opening match the ground truth). However, the copy implies company-level sustainability leadership ('redefining what it means to shop more responsibly') without supporting evidence in the verified data, a mild unsubstantiated claim.","The messaging shifts responsibility onto consumer behavior ('buy with intention') and emphasizes the waste-reducing effects of buying less, while omitting any information about Company G's own production practices, materials, supply chain or footprint—a hidden trade-off that distracts from potential company-level impacts.","The copy uses elevated language ('redefining', 'global impact') to amplify the effect of individual purchasing choices and position the brand as a sustainability actor despite no cited initiatives or evidence. This inflates the importance of a consumer-behavior message into broader claims about environmental leadership.","The text does not boast about legally required practices or present irrelevant compliance claims; it offers general sustainability exhortations rather than citing mundane, legally mandated facts."
Company G En__vagueness__kg_context__rep1,Company G,kg_context,vagueness,6,3,1,0,2,0,False,"At Company G, we believe true style is timeless only when it respects the world it lives in. Born in Turkey and now welcoming customers in 70 stores at home and abroad, we understand that every choice we make carries weight for our planet’s future. Our vision of fashion goes beyond trends; it is about embracing a more mindful way of living, where beauty, comfort, and environmental awareness walk hand in hand. As we grow, we carry with us a sense of responsibility to the communities we touch and the natural resources we all share. Sustainability, for us, is an ongoing journey: thinking carefully about what we create, how it is experienced, and the legacy it leaves behind. When you choose Company G, you join a global story that looks toward a greener tomorrow—one where getting dressed can feel not only elegant and confident, but also consciously connected to the world around you.","The text relies heavily on broad, emotive sustainability language — 'environmental awareness', 'greener tomorrow', 'Sustainability... is an ongoing journey', 'mindful way of living' — without any definitions, materials, methods, timelines, or measurable targets. The company ground truth contains no sustainability metrics to substantiate these claims, so the wording is classically vague.","The copy contains no fabricated percentages, dates, certifications, or concrete metrics beyond '70 stores', which is verified in the ground truth. Sustainability claims are aspirational and unsupported but not explicitly false or accompanied by invented metrics/certs, so this is a low-level misleading/unsupported claim rather than outright fabrication.","The text does not call out a single narrow 'green' attribute (e.g., recycled packaging) while hiding other impacts. It makes general sustainability statements but does not present a specific, distracting eco-claim that conceals larger trade-offs.","The language is grand and promotional ('respect the world', 'join a global story', 'greener tomorrow') and frames the brand as environmentally conscientious without evidence. This dramatization inflates perceived sustainability performance despite no cited initiatives, constituting moderate overselling.",The text does not boast about compliance with laws or mention irrelevant/obligatory standards. It offers aspirational statements rather than framing basic legal compliance as an achievement.
Company G En__concealment__no_context__rep1,Company G,no_context,concealment,7,0,3,1,3,0,False,"This year, Company G accelerated its sustainability journey with concrete achievements that make a real difference. We transitioned 72% of our collection to lower-impact materials, including Global Organic Textile Standard (GOTS) certified cotton, responsibly sourced wool, and recycled fibers that give new life to pre- and post-consumer waste. Across our owned facilities, we reduced energy use per garment by 28% through efficiency upgrades and a shift to 100% renewable electricity, while improving water stewardship with closed-loop systems in key partner mills. On the social side, 96% of our Tier 1 suppliers are now audited against rigorous fair labor and health-and-safety standards, and we expanded long-term partnerships with factories that provide living-wage benchmarks and worker well-being programs. Closer to home, Company G invested in local communities through mentorship for emerging artisans, clothing donations, and skill-building workshops that support circular fashion practices. Each step reflects our commitment to progress with purpose, and we’re proud to be building a more responsible future, one collection at a time.","The text uses concrete, specific metrics (e.g., 72% of collection, 28% energy reduction, 96% audited suppliers, 100% renewable electricity) and named standards (GOTS) rather than relying on broad, undefined buzzwords. While some language ('water stewardship') is general, the overall copy is quantitatively specific rather than vague.","High presence of unverifiable, specific percentages, metrics and certifications that do not appear in the Ground Truth Facts. Examples: '72% of our collection', '28% reduced energy use per garment', '100% renewable electricity', 'closed-loop systems in key partner mills', '96% of our Tier 1 suppliers audited', and 'GOTS certified cotton'. The Critical Rule requires scoring misleading as ≥2 when any percentage/metric/certification is not explicitly listed in the Ground Truth; here multiple fabricated/unsupported figures and a certification are claimed, indicating blatant unverified fabrication.","Low-moderate presence: the text highlights a series of positive sustainability and social metrics without acknowledging broader potential trade-offs (e.g., overall production volume, lifecycle emissions, chemical use, or third‑party verification of supply‑chain impacts). However, it does not focus on a single trivial attribute and instead claims improvements across multiple areas, so concealment is limited rather than dominant.","High presence of exaggerated claims that inflate the company's sustainability performance: the copy frames sweeping operational transformations and social compliance (large percentage shifts, 100% renewable electricity, near-universal supplier audits) as concrete achievements for which no supporting evidence exists in the Ground Truth. This dramatizes and overstates impact and significance of the claimed initiatives.","The claims relate directly to sustainability practices (materials, energy, water, supplier audits, community programs) rather than touting legally required basics or irrelevant facts. No statements appear to be simple restatements of regulatory compliance or otherwise irrelevant bragging."
Company G En__misleading__no_context__rep1,Company G,no_context,misleading,8,0,3,2,3,0,False,"At Company G, sustainability is stitched into every seam. Today, 78% of our total fiber volume comes from preferred materials, including 46% GOTS-certified organic cotton and 32% GRS-certified recycled fibers, dramatically reducing our dependence on virgin resources. Since 2019, we’ve cut our scoped operational carbon emissions by 37%—preventing over 2,500 tonnes of CO₂e from entering the atmosphere—while saving an estimated 61 million liters of water through BCI-certified cotton in our Everyday Company G program. Across our supply chain, 92% of cutting-room waste is now diverted from landfill through our Close the Loop circularity initiative. Our Earthform Essentials collection is fully GOTS and Fair Trade Certified, guaranteeing organic fibers, responsible processing, and fair wages. The Company G Move line is OEKO-TEX STANDARD 100 certified, so every component is tested for harmful substances, while our Company G Renew denim is both GRS and Bluesign approved for recycled content, chemical safety, and traceability. As a certified B Corp, we’re independently verified for meeting rigorous social and environmental standards across our entire business, not just our products.","The generated text uses many precise percentages, metrics, dates and named certifications rather than broad, undefined buzzwords. While phrased as marketing copy, the claims are specific (e.g., 78%, 46% GOTS, 2019 reductions) rather than vague generalities.","The text contains numerous specific percentages, metrics, a date, and multiple third-party certifications (78% preferred materials; 46% GOTS-certified organic cotton; 32% GRS; 37% scoped operational emissions reduction since 2019; 2,500 tonnes CO2e avoided; 61 million liters water saved; 92% cutting-room waste diversion; GOTS, Fair Trade, OEKO-TEX STANDARD 100, GRS, Bluesign, B Corp). None of these quantitative figures, dates or certifications are present or verified in the Ground Truth Facts. Under the rubric's critical rule, any such unverified metrics/certifications require a high misleading score; these appear fabricated or at least unsubstantiated by the provided company data.","The marketing highlights multiple positive product- and program-level metrics and certifications while omitting any verified company-level context (no verified baseline production volumes, lifecycle impacts, or corroborating evidence in the Ground Truth). This selective presentation can mask broader environmental impacts or trade-offs (e.g., overall production scale, supply-chain emissions) and therefore represents a moderate hidden trade-off risk.","The copy uses dramatic, transformative language and frames extensive business-wide achievements (entire collections fully certified, major diversion and savings percentages) that greatly amplify the perceived sustainability contribution. Given the lack of verification, the text inflates the importance and reach of the claimed initiatives (textual executional greenwashing and 'lesser of two evils' framing), meriting a high overselling score.","The claims are not framed as basic legal compliance or trivial facts (no assertions about legally required standards). The text instead asserts substantive sustainability actions and certifications (albeit unverified), so it does not primarily rely on irrelevant or legally mandated items to greenwash."
