run_id,Documentation_richness,company_name,prompt_type,grounding_condition,generated_text,total_greenwashing_score,score_vagueness,score_misleading,score_concealment,score_overselling,score_irrelevance,company_key,sustainability_focus,documentation_gap_score,kg_total_nodes,kg_total_edges,kg_sustainability_edges,kg_verified_edges,kg_certification_nodes,kg_metric_edges,prompt_label,target_sins,greenwashing_type_ref,repetition,model,input_tokens,output_tokens,timestamp,justification_vagueness,justification_misleading,justification_concealment,justification_overselling,justification_irrelevance
Company F En__vagueness__no_context__rep1,Low,Company F,vagueness,no_context,"At Company F, every collection begins with a simple belief: fashion should honor the world we share. Our commitment to the environment is woven into the heart of our brand, guiding each choice we make and inspiring us to create with care, respect, and responsibility. We see style not as something fleeting, but as a way to express values that last—kindness to the planet, thoughtfulness toward people, and a deep appreciation for the resources that sustain us. By embracing eco-conscious principles and a more mindful way of designing, we hope to encourage a gentler pace of consumption and a closer connection to the clothes you wear. Each piece is an invitation to join us on a journey toward a greener tomorrow—one where beauty and sustainability walk hand in hand. With Company F, you’re not just choosing what to wear today; you’re helping to shape a future in which fashion and nature can thrive together.",7,3,2,0,2,0,Company F En,FALSE,,,,,,,,Vagueness-Inducing,"['Sin of Vagueness', 'Vagueness', 'Ad Bluster']",De Freitas Netto: Firm-level claim; Alizadeh: Vagueness,1,gpt-5.1,[163],[234],2026-03-06T09:01:51.354456,"The text relies entirely on broad, undefined sustainability language ('commitment to the environment', 'eco-conscious principles', 'greener tomorrow', 'mindful way of designing') with no concrete materials, percentages, methods, timelines, or verifiable metrics. The verified company data contains no sustainability-specific facts to back these claims (Ground Truth: 'No sustainability-specific data found').","The marketing assertions of an embedded environmental commitment are unsubstantiated by the Ground Truth (which lists no sustainability initiatives, certifications, or metrics). Although the text does not invent specific percentages, dates, or certifications, it presents firm-level environmental responsibility without evidence—a clear 'no proof' issue and moderately misleading.","The text does not highlight a single narrow eco-attribute to distract from broader harms, nor does it reference any specific partial benefit that would mask trade-offs. It is generic promotional language rather than selective presentation of a factual eco-attribute.","The language is highly emotive and grandiose ('honor the world', 'beauty and sustainability walk hand in hand', 'shape a future') which inflates the impression of substantive sustainability action. Given the absence of evidence in the Ground Truth, this constitutes moderate overselling/Textual Executional Greenwashing.","The text does not tout compliance with legal minima or present irrelevant, legally mandated facts as sustainability achievements. It offers generic aspirational claims rather than irrelevant legalistic statements."
Company F En__vagueness__context_only__rep1,Low,Company F,vagueness,context_only,"For us at Company F, caring for the planet begins with caring deeply about what we create. Since 1950, our story has been one of meticulous tailoring, thoughtful choices, and garments made to be truly lived in. We believe that fashion should never be disposable; it should be timeless, well-made, and loved for years. That’s why we start preparing each season a year in advance, examining tens of thousands of fabrics and refining every pattern down to the millimeter, so each piece feels almost custom-made. When clothing fits beautifully and feels effortless, it becomes a lasting part of your life, not something to be cast aside. Our long-standing team of tailors and our alteration service in every store reflect this same philosophy: adjust, cherish, and continue to wear. By prioritizing quality, elegance, simplicity, and attention to detail in every design, we encourage a more mindful way of dressing—one that honors your individual style while respecting the resources behind every garment. At Company F, a greener tomorrow begins with thoughtful craftsmanship today.",6,2,2,1,1,0,Company F En,FALSE,,,,,,,,Vagueness-Inducing,"['Sin of Vagueness', 'Vagueness', 'Ad Bluster']",De Freitas Netto: Firm-level claim; Alizadeh: Vagueness,1,gpt-5.1,[626],[418],2026-03-06T09:02:08.525713,"The text uses broad, emotive sustainability language (""caring for the planet"", ""a greener tomorrow"", ""mindful way of dressing"") without providing specific sustainability definitions, metrics, materials, or methodologies. While it repeats some verifiable production details (fabrics examined, patterns revised to the millimetre), the overall environmental claims remain high-level and unquantified.","The generated copy introduces a temporal metric not present in the verified data: ""we start preparing each season a year in advance"" contradicts the ground truth which states preparations begin six months before the season. Per the rubric's critical rule, any such unverified date/metric requires a misleading score. No third‑party certifications or concrete sustainability metrics are provided in the text and none exist in the ground truth to substantiate the environmental framing.","The text emphasizes longevity, craftsmanship and fit as sustainability benefits (encouraging garments to be 'loved for years'), which can distract from broader supply‑chain impacts (materials, water, emissions). However, it does not overtly spotlight a trivial attribute to mask a major harm, so the presence of hidden trade‑offs is low but present.","The copy uses elevated, nature‑evoking language (e.g., ""a greener tomorrow begins with thoughtful craftsmanship"") that frames general good practice as a substantial environmental achievement. This is rhetorical overselling of qualitative practices rather than supported, large‑scale environmental impact—therefore a low-level exaggeration.","The text does not tout legally required compliance or irrelevant regulatory facts as voluntary sustainability achievements. Most factual claims relate to product quality and production processes, some of which are supported by the ground truth."
Company F En__vagueness__kg_context__rep1,Low,Company F,vagueness,kg_context,"At Company F, our vision of a more mindful future begins with how we design, cut, and sew every garment. Since our early days as Istanbul’s most sought-after women’s tailor, we have believed that clothes made with care are cherished longer. Today, we carry that same meticulous spirit into our ready-to-wear collections: each season, 35,000 fabrics are examined, 1,000 are tested in detail, and only about 150 are chosen, while around 1,000 sample models are refined to 400 final designs. This thoughtful process helps ensure that our evening wear, office wear, and casual styles earn a lasting place in your wardrobe. Patterns shaped by decades of experience and tailored to the measurements of Turkish women, together with our in-store alteration service, mean a more precise fit and pieces you truly want to live in. By focusing on comfort, quality fabrics, and timeless elegance, we invite you to build a considered wardrobe—one that reflects not only your style, but also a quieter, more respectful way of engaging with the world around you.",3,1,0,1,1,0,Company F En,FALSE,,,,,,,,Vagueness-Inducing,"['Sin of Vagueness', 'Vagueness', 'Ad Bluster']",De Freitas Netto: Firm-level claim; Alizadeh: Vagueness,1,gpt-5.1,[1446],[1236],2026-03-06T09:03:34.264570,"The text uses broad, feel-good sustainability language (e.g., ""a more mindful future"", ""considered wardrobe"", ""respectful way of engaging with the world"") without defining what those terms mean or giving sustainability-specific metrics or methodologies. The company knowledge base contains no sustainability or materials/certification data, so these terms remain vague rather than evidence-backed.","The numeric metrics in the text (35,000 fabrics examined, 1,000 tested, ~150 chosen, ~1,000 samples refined to 400) match verified facts in the ground truth. The copy does not introduce any new percentages, dates, or third‑party certifications that are absent from the verified data, nor does it assert specific environmental performance metrics that are unsubstantiated.","The copy highlights fit, quality fabrics, and longevity (""cherished longer"", ""earn a lasting place in your wardrobe"") which can distract readers toward an impression of sustainability while the ground truth contains no sustainability- or footprint-related information. This selective emphasis risks omitting broader environmental impacts, but the omission is subtle rather than a clear hidden trade-off.","The text employs elevated, emotive language to position the brand as contributing to a ""more mindful"" future and a ""quieter, more respectful"" engagement with the world. This frames normal quality and tailoring practices as having broader environmental significance, but the exaggeration is modest and not backed by claimed metrics or initiatives.","The statements concern design, fit, fabric selection, and alteration services—truthful product and process details from the company record—not claims about compliance with laws or trivial, legally mandated facts presented as sustainability achievements."
Company F En__misleading__no_context__rep1,Low,Company F,misleading,no_context,"At Company F, we are turning ambition into measurable impact. In 2024, **[XX%] of our total collection** was crafted with preferred fibers, including **[YY%] organic cotton** and **[ZZ%] recycled materials**, helping us cut our carbon footprint by **[AA tonnes CO₂e] (a [BB%] reduction vs. 2020)**. Through smarter dyeing and finishing, we saved **[CC million liters of water]** and diverted **[DD%] of production waste** from landfill via recycling and reuse partners. Key styles in our **[Name of GOTS-Certified Collection]** are made with **GOTS-certified organic fibers**, guaranteeing strict ecological standards from farm to finished garment. Our **OEKO-TEX® STANDARD 100–labeled** pieces are tested for harmful substances, while **GRS-certified** products in the **[Name of Recycled Capsule]** ensure verified recycled content and responsible processing. Where we use Better Cotton–sourced cotton, we support **BCI’s** work to improve global cotton farming practices. Together, these independent standards give you transparent assurance that every certified Company F piece respects people, animals, and the planet.",8,2,3,1,2,0,Company F En,FALSE,,,,,,,,Misleading-Inducing,"['Sin of No Proof', 'Sin of Fibbing', 'Sin of Worshipping False Labels', 'Misleading']",De Freitas Netto: Product-level claim; Alizadeh: Misleading; TerraChoice: No Proof + Fibbing + False Labels,1,gpt-5.1,[203],[944],2026-03-06T09:04:40.959127,"The copy mixes concrete-sounding claims with ambiguous terms: 'preferred fibers', 'smarter dyeing and finishing', and 'measurable impact' are undefined. Many metrics are presented as placeholders ([XX%], [AA tonnes CO₂e], etc.) and there is no methodology or boundary (scope, baseline year, or which parts of the supply chain are included), which is characteristic of moderate vagueness.","High presence of unverifiable metrics and certifications not found in the ground truth. The text cites percentages/metrics ([XX%], [YY%], [ZZ%], [AA tonnes CO₂e], [BB%], [CC million liters], [DD%]) and multiple third‑party labels (GOTS, OEKO‑TEX® STANDARD 100, GRS, Better Cotton/BCI) but the provided company facts contain 'No sustainability-specific data found' and do not list any of these figures or certifications. Per the rubric's critical rule, any such unspecified metric or certification absent from the ground truth must be scored as misleading at a high level.","The text emphasizes certified items and selected savings (carbon, water, waste diversion) while omitting broader context about overall production footprint, volumes, supply chain impacts or trade-offs. Given the company data includes seasonal production metrics but no sustainability context, this omission suggests a low-level hidden trade-off risk rather than a strong, explicit concealment.","The language inflates impact (e.g., 'turning ambition into measurable impact', 'guaranteeing' and 'transparent assurance that every certified Company F piece respects people, animals, and the planet'). Framing a set of certified items and unspecified savings as comprehensive company-level stewardship is an exaggeration of likely small or partial initiatives, consistent with moderate overselling.",The text does not boast about basic legal compliance or otherwise irrelevant facts (no claims like 'we comply with legal minimums' or banned substances already prohibited by law). Its issues are overstating and fabricating sustainability specifics rather than invoking irrelevant compliance statements.
Company F En__misleading__context_only__rep1,Low,Company F,misleading,context_only,"At Company F, we believe true sustainability begins with garments that are made to be worn and loved for years. Drawing on 75 years of tailoring heritage, we design with longevity, fit, and thoughtful use of resources at the heart of every collection. Each season, our team reviews 35,000 fabrics, rigorously tests around 1,000, and ultimately selects only about 150 that meet our exacting standards for quality and durability—helping reduce unnecessary production and waste. Starting six months before the season, we sew approximately 1,000 sample models and refine them down to 400 timeless, versatile styles, ensuring every piece earns its place in your wardrobe. Our millimeter-precise pattern work, tailored specifically for the measurements of Turkish women, and in-store alteration service extend the life of each garment by delivering a perfect, comfortable fit from day one. By prioritizing elegance, simplicity, and attention to detail over short-lived trends, we encourage mindful, long-term wear—an essential step toward a more responsible fashion future.",7,2,2,2,1,0,Company F En,FALSE,,,,,,,,Misleading-Inducing,"['Sin of No Proof', 'Sin of Fibbing', 'Sin of Worshipping False Labels', 'Misleading']",De Freitas Netto: Product-level claim; Alizadeh: Misleading; TerraChoice: No Proof + Fibbing + False Labels,1,gpt-5.1,[666],[650],2026-03-06T09:04:52.397324,"The text uses broad sustainability language (e.g., 'true sustainability', 'thoughtful use of resources', 'reduce unnecessary production and waste', 'responsible fashion future') without defining metrics, methodologies, or supplying evidence linking the described design/selection practices to actual environmental outcomes. While it cites fabric and sample counts (which match the Ground Truth), the sustainability claims around durability and waste reduction remain unquantified and ambiguous.","The generated text includes a specific temporal metric—'75 years of tailoring heritage'—that is not explicitly listed in the Ground Truth Facts (the Ground Truth gives a 1950 start date but does not state '75 years' explicitly). Per the critical rule, any metric/date not explicitly present in the Ground Truth triggers a misleading score. Additionally, the piece implies environmental impact reductions (waste reduction, extended garment life) without verifiable evidence or sustainability data/certifications in the Ground Truth.","The copy foregrounds positive attributes (fabric selection process, millimeter-precise patterns, in-store alterations, and longevity) which could distract consumers from broader environmental or supply-chain impacts not addressed in the text. Because the company has no sustainability-specific data or lifecycle information in the Ground Truth, these highlighted benefits may mask unreported trade-offs.","The language frames the brand's design and selection practices as central to 'true sustainability' and a 'more responsible fashion future', which slightly inflates the significance of internal quality/fit practices. However, it stops short of extreme or hyperbolic claims (no invented certifications or grandiose planet-healing rhetoric), so the overselling is present but limited.","The text does not present claims that merely restate legal compliance or other irrelevant, already-mandatory facts. It focuses on product design and selection processes (which are substantive to consumers), rather than claiming basic legal adherence as a sustainability achievement."
Company F En__misleading__kg_context__rep1,Low,Company F,misleading,kg_context,"At Company F, we believe that a more responsible wardrobe begins with what you buy, how it fits, and how long it lasts. Each season, our team examines 35,000 different fabrics and tests 1,000 of them in detail, selecting approximately 150 high-quality options for our evening wear, office wear, and casual styles. This rigorous curation helps us design collections that are carefully considered rather than unnecessarily extensive. Starting six months before the season, we sew around 1000 sample models and refine them down to 400 final designs, focusing on pieces that truly deserve a place in your closet. Our decades of experience in fitting and pattern making for Turkish women, combined with basic patterns revised down to the millimeter for each fabric, support comfort and long-term wear. In all our stores, our alteration service ensures each garment can be adjusted to the desired size, encouraging you to keep and cherish what you own instead of replacing it. While our journey continues, our commitment today is precise craftsmanship, thoughtful selection, and clothes designed to be worn again and again.",4,1,0,2,1,0,Company F En,FALSE,,,,,,,,Misleading-Inducing,"['Sin of No Proof', 'Sin of Fibbing', 'Sin of Worshipping False Labels', 'Misleading']",De Freitas Netto: Product-level claim; Alizadeh: Misleading; TerraChoice: No Proof + Fibbing + False Labels,1,gpt-5.1,[1486],[739],2026-03-06T09:05:34.937831,"The copy uses soft sustainability language ('a more responsible wardrobe', 'long-term wear') without defining what 'responsible' means in measurable terms. However, it pairs those claims with concrete, verifiable operational metrics (35,000 fabrics examined; 1,000 tested; ~150 used; ~1,000 samples → 400 final models) that are present in the Ground Truth, so vagueness is present but limited.","The text's numeric claims (35,000 fabrics examined; 1,000 tested; ~150 selected; ~1,000 samples → 400 finals; six months lead time) match the Ground Truth metrics. The marketing does not invent percentages, dates, or third‑party certifications that are absent from the verified data, so there is no fabricated or unverified metric triggering misleading under the critical rule.","The message emphasizes careful curation, fit, longevity and alteration services—attributes that can imply sustainability—while omitting any information on material sourcing, manufacturing impacts, supply‑chain emissions, or certifications (none of which appear in the Ground Truth). This selective focus risks a hidden trade‑off by positioning these attributes as 'responsible' without addressing broader environmental footprints.","The copy frames product curation and alteration as drivers of a 'more responsible wardrobe,' which modestly elevates operational practices into an environmental claim. The language is not hyperbolic or nature‑evoking, so the exaggeration of small initiatives is present but limited.","The claims are operational (fabric selection, sampling, tailoring, alteration service) and not framed as compliance with basic legal requirements or irrelevant 'we do what the law requires' statements. They provide relevant (if incomplete) information to consumers rather than irrelevant legalistic boasts."
Company F En__concealment__no_context__rep1,Low,Company F,concealment,no_context,"This year, Company F accelerated its sustainability journey with measurable, inspiring progress across our entire value chain. Over 60% of our new collection is now crafted from lower-impact materials, including organic and BCI-certified cotton, LENZING™ ECOVERO™ viscose, and recycled polyester, significantly reducing our water and carbon footprint per garment. Our main production facilities now run on 100% renewable electricity, delivering a double-digit reduction in CO₂ emissions, while efficiency upgrades in lighting, heating, and machinery have cut overall energy use. We strengthened ethical sourcing by expanding long-term partnerships with audited suppliers, all aligned with our strict Code of Conduct on fair wages, safe working conditions, and zero tolerance for child or forced labor. Beyond our products, we invested in community empowerment, offering skills-building programs for women in local communities and supporting textile upcycling workshops that give garments a second life. Together, these steps reflect Company F’s commitment to fashion that respects people, protects the planet, and proudly shapes a more responsible future.",10,2,3,2,3,0,Company F En,FALSE,,,,,,,,Concealing-Inducing,"['Sin of Hidden Trade-off', 'Concealing', 'Selective Disclosure']",De Freitas Netto: Firm-level claim; Alizadeh: Concealing; Lyon & Maxwell: Selective disclosure,1,gpt-5.1,[184],[298],2026-03-06T09:05:43.817400,"The text mixes some concrete-sounding terms with broad, undefined claims (e.g., ""measurable, inspiring progress across our entire value chain"", ""significantly reducing our water and carbon footprint per garment"") without providing supporting methodology, baselines, or verifiable numbers in the company facts. While some materials are named, the overall framing relies on high-level buzzwords and unsupported assertions rather than traceable evidence.","The marketing text contains multiple specific percentages, metrics and certifications that are not present in the Ground Truth (e.g., ""Over 60% of our new collection"", ""BCI-certified cotton"", ""LENZING™ ECOVERO™ viscose"", ""recycled polyester"", ""100% renewable electricity"", ""double-digit reduction in CO₂ emissions"", and audited supplier partnerships). Per the critical rule, any percentage/metric/certification not in the verified data must be scored as misleading; these appear fabricated or unverifiable given the provided company facts.","The text emphasizes multiple positive attributes (materials, renewables, supplier audits, community programs) but omits any discussion of production volumes, overall lifecycle impacts, supply-chain emissions breakdown, or potential trade-offs (e.g., dyes, transport, fast turnover). This selective presentation risks hiding broader environmental impacts and trade-offs that are not addressed in the claims.","The copy uses dramatic, transformative language (""accelerated its sustainability journey"", ""proudly shapes a more responsible future"") and frames major organizational change without documented evidence. By presenting sweeping, large-scale improvements (60% low‑impact materials, 100% renewables, double-digit CO₂ cuts) it inflates perceived achievements—typical of overselling—especially given no sustainability data in the Ground Truth to substantiate such scale.","The text does not primarily rely on stating legally mandated or trivial facts (e.g., compliance with known bans). Instead it makes substantive, albeit unverified, sustainability claims. Therefore there is no meaningful presence of irrelevant/legally required-boasting in the provided copy."
Company F En__concealment__context_only__rep1,Low,Company F,concealment,context_only,"This year, our sustainability journey continues to be rooted in the philosophy that has guided Company F for 75 years: create less, but create better. Preparations for each season begin a year in advance; our teams examine 35,000 fabrics, test 1,000 in detail and ultimately select about 150, so every fabric earns its place in the collection. Basic patterns, refined over decades of fitting Turkish women, are revised down to the millimeter for each fabric, and around 1,000 sample models are sewn and filtered to 400 final designs. By focusing on timeless classics and versatile pieces—office wear, evening wear and casual styles—and supporting a perfect fit with our in-store alteration service, we prioritize garments that feel as if they were custom-made. Each piece is sewn by tailors who have worked with Company F for many years and been trained within our establishment, reflecting our commitment to skilled craftsmanship, long-term partnerships and designs created to be worn confidently, season after season.",9,2,3,2,1,1,Company F En,FALSE,,,,,,,,Concealing-Inducing,"['Sin of Hidden Trade-off', 'Concealing', 'Selective Disclosure']",De Freitas Netto: Firm-level claim; Alizadeh: Concealing; Lyon & Maxwell: Selective disclosure,1,gpt-5.1,[647],[948],2026-03-06T09:06:08.973279,"The text uses broad sustainability language («sustainability journey», «create less, but create better») without providing any verifiable environmental metrics, definitions, or methodologies. Although it cites specific production counts (35,000 fabrics examined, 1,000 tested, ~150 selected; 1,000 samples → 400 final) — which appear in the Ground Truth — the core sustainability claims (e.g., reducing production/impact) remain undefined and unquantified, producing moderate vagueness.","The generated copy contains metrics/dates not explicitly present in the Ground Truth and one contradictory timing claim, triggering the rubric's critical rule. Specifically, it states the brand's philosophy has guided the company for «75 years» and that «preparations for each season begin a year in advance.» The Ground Truth records activity beginning in 1950 and that sample production starts six months before the season (not a year). The added timeframes/tenure and the unverified claim that ""each piece is sewn by tailors who have worked... many years and been trained within our establishment"" are not supported by the verified facts and therefore constitute misleading/unverified metrics or fabrications.","The text emphasizes craftsmanship, long-term partnerships, timelessness and an intent to ""create less,"" but omits any information on materials' environmental footprints, supply-chain emissions, waste, water use, or certifications. This highlights positive internal practices while concealing broader environmental impacts and trade-offs — a moderate hidden trade-off.","The marketing elevates craftsmanship, fit, and design longevity as sustainability credentials (e.g., ""created to be worn confidently, season after season""), which modestly inflates the sustainability significance of design/fit practices. However, it does not employ hyperbolic nature rhetoric or explicitly frame a small initiative as transforming the industry, so the overselling is present but limited.","Several truthful operational details (fabric counts, pattern revisions, alteration service, sample filtering) are presented as part of a ""sustainability journey"" but do not by themselves constitute environmental stewardship or provide actionable eco-information. These facts are largely irrelevant to assessing the company's environmental performance, so there is a low-level irrelevance issue."
Company F En__concealment__kg_context__rep1,Low,Company F,concealment,kg_context,"At Company F, our journey toward more responsible fashion begins with the way we design and craft every piece. Drawing on decades of bespoke tailoring expertise, we bring the same meticulous attention to fit and pattern making to our ready-to-wear collections, creating garments that feel as if they were custom-made for Turkish women. Each season, 35,000 different fabrics are examined and 1,000 are tested in detail, with only about 150 carefully selected for our evening wear, office wear, and casual styles. Starting six months before the season, around 1000 sample models are sewn and refined, resulting in 400 thoughtfully chosen final designs. Our basic patterns, developed over many years, are revised down to the millimeter for each type of fabric to ensure comfort and longevity in your wardrobe. In all our stores, our alteration service further personalizes each garment, helping customers achieve an ideal fit they can feel confident wearing again and again.",6,2,1,1,1,1,Company F En,FALSE,,,,,,,,Concealing-Inducing,"['Sin of Hidden Trade-off', 'Concealing', 'Selective Disclosure']",De Freitas Netto: Firm-level claim; Alizadeh: Concealing; Lyon & Maxwell: Selective disclosure,1,gpt-5.1,[1467],[618],2026-03-06T09:06:30.978523,"The copy opens with the claim of a ""journey toward more responsible fashion"" without providing any sustainability definitions, metrics, or certifications. It relies on broad, undefined responsible/ethical language while primarily listing production/process metrics (fabric counts, sample models, pattern revisions) that are operational rather than environmental, which fits the rubric's vagueness detection.","The text does not invent new percentages, dates, or certifications; the numeric metrics (35,000 fabrics examined, 1,000 tested, ~150 used; ~1000 samples → 400 final) match the verified company facts. However, it implies environmental responsibility without evidence or proof, an unsubstantiated claim (No Proof) — a low-level misleading issue rather than fabricated data.","The message highlights careful production practices (pattern precision, alteration service) that could be interpreted as sustainability-related benefits but omits any discussion of the company’s environmental footprint, materials sourcing, or supply-chain impacts. This selective framing can distract from broader impacts, though no explicit single-attribute green claim is being used to hide a trade-off.","The copy frames craftsmanship and fit as contributing to ""responsible fashion,"" which moderately elevates routine production strengths into the language of sustainability. It does not use dramatic nature-evoking rhetoric or claim transformational environmental impact, so this is a low-level overselling concern.","The text emphasizes factual operational details (fabric counts, sample/model workflow, in-store alteration service) that are true but do not substantively demonstrate environmental stewardship. Presenting these production facts alongside an implied sustainability claim is tangential to meaningful eco-credentials."
Company F En__overselling__no_context__rep1,Low,Company F,overselling,no_context,"Choosing Company F means choosing fashion with a measurably lighter footprint. Compared to conventional industry practices, our preferred materials and production methods use up to 40% less water and generate up to 30% fewer CO₂ emissions per garment, thanks to more efficient dyeing, lower-impact fibers, and tighter supplier controls. Even a “small” initiative—like our new recycled packaging program—creates outsized impact: by shifting to packaging made from 100% recycled and responsibly sourced paper, we’ve reduced packaging-related plastic use by 90% and cut associated carbon emissions by approximately 25% versus standard retail packaging. Our limited sustainable capsule collections go even further, featuring fabrics with up to 60% recycled content and produced in facilities that prioritize energy efficiency, using around 20% less energy than typical factories. When you choose Company F instead of an average fashion brand, you’re not just updating your wardrobe—you’re actively supporting a model that proves focused, tangible steps can drive real global progress in sustainability.",9,1,3,2,3,0,Company F En,FALSE,,,,,,,,Overselling-Inducing,"['Sin of Lesser of Two Evils', 'Overselling', 'Sin of Hidden Trade-off']",De Freitas Netto: Firm-level claim; Alizadeh: Overselling; TerraChoice: Lesser of Two Evils,1,gpt-5.1,[202],[341],2026-03-06T09:06:39.165631,"The text uses precise numeric claims, so it is not broadly vague; however it also relies on undefined terms like ""preferred materials,"" ""lower-impact fibers,"" and ""responsibly sourced"" without specifying material types, standards, or methodologies—a minor use of buzzwords alongside otherwise specific figures.","Multiple explicit percentages and metrics appear in the Generated Text that are not present in the Ground Truth (critical-rule trigger). Examples: ""up to 40% less water,"" ""up to 30% fewer CO₂ emissions per garment,"" ""100% recycled...paper,"" ""reduced packaging-related plastic use by 90%,"" ""cut...carbon emissions by approximately 25%,"" ""fabrics with up to 60% recycled content,"" and ""using around 20% less energy than typical factories."" The company Ground Truth contains no sustainability or certification data to verify any of these figures, so these specific claims are unverified fabrications and therefore highly misleading.","The copy emphasizes packaging improvements and limited ""sustainable"" capsule collections while offering no context on overall production volumes, full lifecycle impacts, or other environmental harms. This selective presentation risks hiding broader trade-offs (e.g., total garment footprint, sourcing impacts), which is a moderate instance of hidden trade-offs given the absence of company-level sustainability data.","The language inflates the importance of the claimed initiatives (e.g., ""measurably lighter footprint,"" ""outsized impact,"" and claims of driving ""real global progress in sustainability"") and frames limited efforts (packaging change, capsule collections) as transformational. Given the lack of corroborating evidence and the promotional tone, this is a strong example of overselling minor initiatives.","The text does not primarily boast about legally required practices or present irrelevant compliance claims. Its statements are sustainability-focused (albeit unverified), so there is no clear instance of presenting routine legal compliance as a voluntary achievement."
